200
Tipo 1; Açúcar; 8.0; 0.2; 9,60
Tipo 1; Açúcar Cristal; 9.0; 0.2; 10,80
Tipo 1; Açúcar Demerara; 12.0; 0.25; 15,00
Tipo 1; Achocolatado; 8.5; 0.3; 11,05
Tipo 1; Adoçante; 15.0; 0.4; 21,00
Tipo 1; Água; 2.0; 0.5; 3,00
Tipo 1; Água Sanitária; 4.0; 0.3; 5,20
Tipo 1; Álcool; 6.0; 0.25; 7,50
Tipo 1; Amendoim; 8.0; 0.3; 10,40
Tipo 1; Amendoim Torrado; 10.0; 0.35; 13,50
Tipo 1; Arroz; 10.0; 0.25; 12,50
Tipo 1; Arroz Integral; 12.0; 0.25; 15,00
Tipo 1; Arroz Parboilizado; 11.0; 0.25; 13,75
Tipo 1; Atum; 8.0; 0.3; 10,40
Tipo 1; Aveia; 12.0; 0.3; 15,60
Tipo 1; Aveia em Flocos; 14.0; 0.3; 18,20
Tipo 1; Azeite; 50.0; 0.25; 62,50
Tipo 1; Azeite Extra Virgem; 60.0; 0.3; 78,00
Tipo 1; Batata Chips; 6.0; 0.4; 8,40
Tipo 1; Batata Palha; 7.0; 0.4; 9,80
Tipo 1; Biscoito; 4.0; 0.2; 4,80
Tipo 1; Biscoito Cream Cracker; 5.0; 0.25; 6,25
Tipo 1; Biscoito Maria; 4.5; 0.2; 5,40
Tipo 1; Biscoito Recheado; 6.0; 0.3; 7,80
Tipo 1; Bolacha; 4.5; 0.25; 5,62
Tipo 1; Bolacha Wafer; 5.5; 0.3; 7,15
Tipo 1; Bombom; 12.0; 0.5; 18,00
Tipo 1; Café; 25.0; 0.35; 33,75
Tipo 1; Café Solúvel; 30.0; 0.4; 42,00
Tipo 1; Canela; 8.0; 0.4; 11,20
Tipo 1; Catchup; 6.0; 0.35; 8,10
Tipo 1; Cereal; 15.0; 0.3; 19,50
Tipo 1; Cereal Matinal; 18.0; 0.35; 24,30
Tipo 1; Chá; 10.0; 0.3; 13,00
Tipo 1; Chá Verde; 12.0; 0.35; 16,20
Tipo 1; Chocolate; 8.0; 0.5; 12,00
Tipo 1; Chocolate Branco; 10.0; 0.5; 15,00
Tipo 1; Chocolate em Pó; 9.0; 0.4; 12,60
Tipo 1; Coco Ralado; 6.0; 0.3; 7,80
Tipo 1; Colorau; 3.0; 0.3; 3,90
Tipo 1; Cominho; 5.0; 0.4; 7,00
Tipo 1; Condicionador; 22.0; 0.3; 28,60
Tipo 1; Creme de Leite; 4.0; 0.25; 5,00
Tipo 1; Crouton; 8.0; 0.4; 11,20
Tipo 1; Curry; 6.0; 0.4; 8,40
Tipo 1; Desinfetante; 8.0; 0.3; 10,40
Tipo 1; Detergente; 12.0; 0.25; 15,00
Tipo 1; Doce de Leite; 10.0; 0.35; 13,50
Tipo 1; Energético; 8.0; 0.6; 12,80
Tipo 1; Erva Doce; 4.0; 0.4; 5,60
Tipo 1; Ervilha; 4.0; 0.2; 4,80
Tipo 1; Ervilha Enlatada; 5.0; 0.2; 6,00
Tipo 1; Especiarias; 10.0; 0.4; 14,00
Tipo 1; Extrato de Tomate; 3.0; 0.25; 3,75
Tipo 1; Farinha; 7.5; 0.2; 9,00
Tipo 1; Farinha de Aveia; 8.0; 0.25; 10,00
Tipo 1; Farinha de Mandioca; 6.0; 0.2; 7,20
Tipo 1; Farinha de Milho; 5.5; 0.2; 6,60
Tipo 1; Farinha de Rosca; 4.0; 0.25; 5,00
